Status,Station Name,Observation Date,Latitude,Longitude,Has Media,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Start Time,End Time,Was this observation completed in person or by listening to an audio device?,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes
,MCPD Chippewa Lake Ramp 01,2023-06-11,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:33 PM,09:36 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2023-06-11,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:33 PM,09:36 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2023-06-11,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:33 PM,09:36 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 01,2023-06-11,41.06037,-81.90969,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Park in the kayak/overflow parking lot.  Walk to the southern corner, where the lot meets the pool and survey from this corner.",09:33 PM,09:36 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,No Precipitation,Above Freezing,Western Chorus Frog,1 - Individuals can be counted; there is space between calls,
,MCPD Chippewa Lake Ramp 03,2023-06-11,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",09:45 PM,09:48 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,Gray Treefrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Chippewa Lake Ramp 03,2023-06-11,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",09:45 PM,09:48 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,American Bullfrog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,MCPD Chippewa Lake Ramp 03,2023-06-11,41.05991,-81.90975,No,Medina,Medina,Ohio,Suburban,Vernal Pool,Natural,Temporary Some Years,Not Known,"Site is wet for most of the year, water is believed to be from flooding from the lake but may be from precipitation/run off or groundwater as there is a spring below ground.","Walk southwest, or up, Westfield Landing from MCPD Chippewa Lake Ramp 02, as if you are leaving to find this pool.  It will be on your left (or the southern side of the road). Be sure to survey safely off the road.",09:45 PM,09:48 PM,,16.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Light Rain or Drizzle,Some Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,
,CUVA: Red Lock Marsh (596),2023-06-10,41.292028,-81.567435,No,Brecksville,Summit,Ohio,Rural,Freshwater Marsh,Natural,Permanent,Groundwater,"Marsh and wet meadow, likely fed by ground and surface water, abuts the Towpath which retains water.",Park at Red Lock Trailhead and walk Towpath North.  Site is noth of the powerline.,10:33 PM,10:36 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,Stanford (540),2023-06-10,41.27617,-81.557652,No,Boston Heights,Summit,Ohio,Rural,Freshwater Marsh,Natural,Permanent,Stream or River,"Large complex, multiple water sources",Park at gate on Stanford Road and walk,10:19 PM,10:22 PM,,18.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: PV - Brookside (968),2023-06-08,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:30 PM,09:33 PM,,18.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,CUVA: PV - Brookside (968),2023-06-08,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:30 PM,09:33 PM,,18.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: PV - Brookside (968),2023-05-28,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:30 PM,09:33 PM,,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
,CUVA: PV - Brookside (968),2023-05-28,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:30 PM,09:33 PM,,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,CUVA: PV - Brookside (968),2023-05-28,41.359199,-81.605567,No,Independence,Cuyahoga,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Pond,Brookside Mitigation Area,Park at NPS access gate off Pleasant Valley Road.,09:30 PM,09:33 PM,,20,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,C Lot Retention Pond,2023-06-07,41.0779,-81.5403,No,Akron,Summit,Ohio,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,,,09:50 PM,09:53 PM,,17.2,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Wild Asia Pond,2023-06-07,41.0807,-81.5405,No,Akron,Summit,Ohio,Urban,Freshwater Marsh,Human-made,Permanent,Precipitation or Runoff,,,09:32 PM,09:35 PM,,17.2,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Grizzly Ridge Retention Pond,2023-06-07,41.080124,-81.541173,No,Akron,Summit,Ohio,Suburban,Pond,Human-made,Not Known,Precipitation or Runoff,Retention Pond,Inside Akron Zoological Park,09:39 PM,09:42 PM,,17.2,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Kiel's Pond,2023-06-06,40.96419,-81.68374,No,Doylestown,Wayne,Ohio,Rural,Pond,Natural,Permanent,Stream or River,stream fed pond,,09:32 PM,09:35 PM,,15.6,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: Station Road 853,2023-06-05,41.319481,-81.586657,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland Southeast of Station Road Bridge, between the Canal and the River. CUVA monitored site.","Park at Station Road Parking lot, cross over bridge.  Wetland is to the right. Take a right on the towpath if you want to view the wetland from another perspective.",09:55 PM,09:58 PM,,12.8,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,Green frog heard outside of my site.
,CUVA: Station Road 853,2023-05-24,41.319481,-81.586657,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland Southeast of Station Road Bridge, between the Canal and the River. CUVA monitored site.","Park at Station Road Parking lot, cross over bridge.  Wetland is to the right. Take a right on the towpath if you want to view the wetland from another perspective.",09:18 PM,09:21 PM,,14.4,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: Station Road 853,2023-05-24,41.319481,-81.586657,No,Brecksville,Cuyahoga,Ohio,Suburban,Swamp or Woodland Swamp,Natural,Permanent,Groundwater,"Wetland Southeast of Station Road Bridge, between the Canal and the River. CUVA monitored site.","Park at Station Road Parking lot, cross over bridge.  Wetland is to the right. Take a right on the towpath if you want to view the wetland from another perspective.",09:18 PM,09:21 PM,,14.4,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Toad,1 - Individuals can be counted; there is space between calls,
,CUVA: Krejci Remediation (1622-1629),2023-06-05,41.264381,-81.53804,No,Boston Heights,Summit,Ohio,Rural,,Human-made,Temporary Every Year,Precipitation or Runoff,Old Krejci Dump,Park Roadside on Hines Hill,09:34 PM,09:37 PM,,16.1,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,wetland drying up
,Brimfield 43 Old Farm Pond,2023-06-04,41.112957,-81.342648,No,Brimfield Township,Portage,Ohio,Suburban,Pond,Natural,Permanent,Pond,"Woodland swamp on one end, other end is pond.",,09:30 PM,09:33 PM,,16.1,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,So quiet out there tonight. No toads or tree frogs.
,Fairlawn Park Swamp,2023-06-03,41.11117,-81.62933,No,Fairlawn,Summit,Ohio,Urban,Swamp or Woodland Swamp,Not Known,Not Known,Not Known,swampy pond with lots of woody reeds,,10:21 PM,10:24 PM,,17.8,3 - GENTLE BREEZE:  leaves and twigs in constant motion; small flags extend,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,
,Hickory Pond Akron,2023-05-31,41.099534,-81.528929,No,Akron,Summit,Ohio,Urban,Pond,Human-made,Permanent,Groundwater,Pond on Private Property that was dug in apporx 1949 in an effort to create a foundation for a house,,11:48 PM,11:51 PM,,17.8,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,1 - Individuals can be counted; there is space between calls,
,MCPD Allardale Pond 01,2023-05-31,41.192774,-81.694918,No,Medina,Medina,Ohio,Park District,Pond,Human-made,Permanent,Pond,Medina County Park District Allardale Lodge Pond,"141 Remsen Road
Medina, OH 44256",09:23 PM,09:26 PM,,22.2,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Greenwood Village Pond,2023-05-31,41.3113,-81.56981,No,Sagamore Hills,Summit,Ohio,Suburban,Pond,Human-made,Permanent,Pond,"In addition to the pond, there is a small stream that feeds into the Cuyahoga River that runs along the western edge of the pond.","South of Route 82, East of the Cuyahoga Valley National Park",09:30 PM,09:33 PM,,23.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,American Bullfrog,1 - Individuals can be counted; there is space between calls,
,Greenwood Village Pond,2023-05-31,41.3113,-81.56981,No,Sagamore Hills,Summit,Ohio,Suburban,Pond,Human-made,Permanent,Pond,"In addition to the pond, there is a small stream that feeds into the Cuyahoga River that runs along the western edge of the pond.","South of Route 82, East of the Cuyahoga Valley National Park",09:30 PM,09:33 PM,,23.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog (Subspecies - Northern),1 - Individuals can be counted; there is space between calls,
,CUVA: Lock 29 (534),2023-05-31,41.243586,-81.550001,No,Peninsula,Summit,Ohio,Suburban,Freshwater Marsh,Artificially Altered,Permanent,Stream or River,,Park at Lock 29 Trailhead,09:50 PM,09:53 PM,,20.6,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,1 - Individuals can be counted; there is space between calls,
,CUVA: EEC Constructed Wetlands,2023-05-31,41.215182,-81.576593,No,Peninsula,Summit,Ohio,Suburban,Freshwater Marsh,Human-made,Permanent,Precipitation or Runoff,These are the old wastewater treatment wetlands,Park at November Lodge and walk down the access road.,08:38 PM,08:41 PM,,23.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Green Frog,2 - Calls of individuals can be distinguished but there is some overlapping of calls,
,CUVA: EEC Constructed Wetlands,2023-05-31,41.215182,-81.576593,No,Peninsula,Summit,Ohio,Suburban,Freshwater Marsh,Human-made,Permanent,Precipitation or Runoff,These are the old wastewater treatment wetlands,Park at November Lodge and walk down the access road.,08:38 PM,08:41 PM,,23.3,0 - CALM: smoke rises vertically,None,No Precipitation,Above Freezing,Gray Treefrog,"3 - Full chorus, calls are constant, continuous and overlapping",
